Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;GD;Pts;Pts/MP;xG;xGA;xGD;xGD/90;Attendance;Top Team Scorer;Goalkeeper
36;Osasuna;ESP;8;11;5;2;4;11;11;0;17;1.55;14.4;12.9;1.5;0.14;18703;Ezequiel Ávila - 3;Sergio Herrera
37;Fulham;ENG;7;12;5;3;4;22;22;0;18;1.5;15.3;22.2;-6.9;-0.57;22532;Aleksandar Mitrovi? - 9;Bernd Leno
38;Liverpool;ENG;8;11;4;4;3;22;13;9;16;1.45;20.4;15.5;4.9;0.45;53200;Roberto Firmino - 6;Alisson
39;RB Leipzig;GER;8;11;4;4;3;20;18;2;16;1.45;21.1;13.7;7.3;0.67;45873;Christopher Nkunku - 8;Péter Gulácsi
40;M'Gladbach;GER;9;11;4;4;3;19;17;2;16;1.45;19.8;16.9;2.9;0.26;51088;Marcus Thuram - 8;Yann Sommer
41;Köln;GER;10;11;4;4;3;19;22;-3;16;1.45;16;14.2;1.9;0.17;49700;Florian Kainz - 4;Marvin Schwäbe
42;Lyon;FRA;8;12;5;2;5;21;16;5;17;1.42;19.6;14.8;4.7;0.39;44873;Alexandre Lacazette - 7;Anthony Lopes
43;Clermont Foot;FRA;9;12;5;2;5;16;19;-3;17;1.42;12.4;23.2;-10.8;-0.9;9277;Komnen Andri? Muhammed Saracevic Cham - 3;Mory Diaw
44;Valencia;ESP;9;11;4;3;4;18;13;5;15;1.36;16.6;11.9;4.7;0.43;40994;Edinson Cavani - 4;Giorgi Mamardashvili
45;Werder Bremen;GER;11;11;4;3;4;20;18;2;15;1.36;15.2;16.7;-1.5;-0.13;41220;Niclas Füllkrug - 8;Ji?í Pavlenka
46;Rayo Vallecano;ESP;10;11;4;3;4;16;14;2;15;1.36;14;13.4;0.6;0.06;12148;Isaac Palazón Camacho Florian Lejeune - 3;Stole Dimitrievski
47;Brighton;ENG;9;11;4;3;4;15;14;1;15;1.36;15.9;13.4;2.5;0.23;31330;Leandro Trossard - 6;Robert Sánchez
